Gene_Symbol,log2FoldChange
MFN2,-0.612772270711225
H3C1,-1.68667002761858
CACYBP,-3.01432473005119
FOSL2,-6.48655481623026
PTGR2,1.00623734947725
ANLN,-1.18182867917802
GRK6,-6.17242795225525
H3C13,-1.4529701160652
TTI2,-0.889925513695612
ASNS,-1.51056285718654
SEPTIN8,-1.161366430699
CREBL2,0.858235447100349
CSE1L,-0.469250176864234
SMIM14,0.658268889313436
HARS1,-0.48500551690003
IFT81,1.10680842412331
EME1,-2.72243602817721
AMOT,-6.28309990742714
HEATR3,-0.688820908420343
MICALL2,-1.4718213235358
RALGAPB,-0.615338257527352
PPRC1,-6.38983132573483
THAP12,-0.770040427679752
PPARGC1A,1.9489470243881
KPNA1,-0.936904157169997
KLRC2,1.66248380305298
LONRF1,0.820114278712705
TSPAN15,0.56419862295331
SFPQ,3.08756675817091
CD9,1.01357856791792
DSCC1,-1.24658804083013
ADAM8,0.721159496429411
SLC25A23,0.717635984659573
LYAR,-1.13976801552104
WRAP73,-0.550314779112694
FECH,-5.61978067168057
AHNAK2,2.13752346272696
ARHGAP40,1.48806621898702
POLQ,-1.09165114741097
H2AC13,-1.21616664582259
PDE4A,0.936006651466363
SKP2,-0.810660830256615
CDCA7,-2.36558968373583
TMOD3,-0.738567274120314
BCAR1,0.746335910670365
LMNB2,-1.44962944452544
GRAMD4,1.3699118385229
PEX7,0.895905886487877
FMNL2,0.767322599114325
E2F7,0.589635798275941
PEPD,-5.47579832917955
H3C2,-1.49888931044501
XK,-1.32270963252372
NAV2,-0.904302397471788
KITLG,-0.677889558406437
RGS12,-0.667152123188081
SLC15A4,0.810352388674781
EXD2,1.15178463283344
TUBGCP4,-0.889318695533486
SLC4A4,-5.87628994824342
COL17A1,-1.99762395979302
PGAM4,-6.12962387893057
ARMC9,1.06459115012532
LETM1,-0.718331077569699
ERAP2,1.25215589262868
CAMLG,1.07545020492119
ZNF695,-2.43285795250651
CCDC18,-0.955927273172912
SH3RF2,-5.92841361351179
E4F1,-2.18426606262847
SP140L,0.933097633864804
SMC2,-0.576402707302552
CPSF2,-0.657721751532586
SMARCB1,-0.994234239403521
AFAP1L1,-5.9729119531415
MAPK8,-0.821520189991207
AP1S3,-0.870473148504657
GPR176,1.23402319857698
PLAGL2,-0.802310968929692
TONSL,-6.41342492014655
DDT,-1.66871043884853
DBP,1.73793964785696
DHX15,-0.80455382857257
RRAGD,1.55882463255787
TIMM10,-0.606200453100832
