,sample_name,sample,compound,dose,replicate
146,MDA_DACTO_1uM-3,MDA,DACTO,1.0,3
147,MDA_DMSO1-1,MDA,DMSO1,,1
148,MDA_DMSO1-2,MDA,DMSO1,,2
149,MDA_DMSO1-3,MDA,DMSO1,,3
150,MDA_DMSO1-4,MDA,DMSO1,,4
151,MDA_DMSO1-5,MDA,DMSO1,,5
152,MDA_DMSO1-6,MDA,DMSO1,,6
153,MDA_DMSO2-1,MDA,DMSO2,,1
154,MDA_DMSO2-2,MDA,DMSO2,,2
155,MDA_DMSO2-3,MDA,DMSO2,,3
156,MDA_DMSO2-4,MDA,DMSO2,,4
157,MDA_DMSO2-5,MDA,DMSO2,,5
158,MDA_DMSO2-6,MDA,DMSO2,,6
159,MDA_EVE_0p1uM-1,MDA,EVE,0.1,1
160,MDA_EVE_0p1uM-2,MDA,EVE,0.1,2
161,MDA_EVE_0p1uM-3,MDA,EVE,0.1,3
162,MDA_EVE_10uM-1,MDA,EVE,10.0,1
163,MDA_EVE_10uM-2,MDA,EVE,10.0,2
164,MDA_EVE_10uM-3,MDA,EVE,10.0,3
165,MDA_EVE_1uM-1,MDA,EVE,1.0,1
166,MDA_EVE_1uM-2,MDA,EVE,1.0,2
167,MDA_EVE_1uM-3,MDA,EVE,1.0,3
168,MDA_KU_0p1uM-1,MDA,KU,0.1,1
169,MDA_KU_0p1uM-2,MDA,KU,0.1,2
170,MDA_KU_0p1uM-3,MDA,KU,0.1,3
171,MDA_KU_10uM-1,MDA,KU,10.0,1
172,MDA_KU_10uM-2,MDA,KU,10.0,2
173,MDA_KU_10uM-3,MDA,KU,10.0,3
174,MDA_KU_1uM-1,MDA,KU,1.0,1
175,MDA_KU_1uM-2,MDA,KU,1.0,2
176,MDA_KU_1uM-3,MDA,KU,1.0,3
177,MDA_LY_0p1uM-1,MDA,LY,0.1,1
178,MDA_LY_0p1uM-2,MDA,LY,0.1,2
179,MDA_LY_0p1uM-3,MDA,LY,0.1,3
180,MDA_LY_10uM-1,MDA,LY,10.0,1
181,MDA_LY_10uM-2,MDA,LY,10.0,2
182,MDA_LY_10uM-3,MDA,LY,10.0,3
183,MDA_LY_1uM-1,MDA,LY,1.0,1
184,MDA_LY_1uM-2,MDA,LY,1.0,2
185,MDA_LY_1uM-3,MDA,LY,1.0,3
186,MDA_OSI_0p1uM-1,MDA,OSI,0.1,1
187,MDA_OSI_0p1uM-2,MDA,OSI,0.1,2
188,MDA_OSI_0p1uM-3,MDA,OSI,0.1,3
189,MDA_OSI_10uM-1,MDA,OSI,10.0,1
190,MDA_OSI_10uM-2,MDA,OSI,10.0,2
191,MDA_OSI_10uM-3,MDA,OSI,10.0,3
192,MDA_OSI_1uM-1,MDA,OSI,1.0,1
193,MDA_OSI_1uM-2,MDA,OSI,1.0,2
194,MDA_OSI_1uM-3,MDA,OSI,1.0,3
195,MDA_RAPA_0p1uM-1,MDA,RAPA,0.1,1
196,MDA_RAPA_0p1uM-2,MDA,RAPA,0.1,2
197,MDA_RAPA_0p1uM-3,MDA,RAPA,0.1,3
198,MDA_RAPA_10uM-1,MDA,RAPA,10.0,1
199,MDA_RAPA_10uM-2,MDA,RAPA,10.0,2
200,MDA_RAPA_10uM-3,MDA,RAPA,10.0,3
201,MDA_RAPA_1uM-1,MDA,RAPA,1.0,1
202,MDA_RAPA_1uM-2,MDA,RAPA,1.0,2
203,MDA_RAPA_1uM-3,MDA,RAPA,1.0,3
204,MDA_RIDA_0p1uM-1,MDA,RIDA,0.1,1
205,MDA_RIDA_0p1uM-2,MDA,RIDA,0.1,2
206,MDA_RIDA_0p1uM-3,MDA,RIDA,0.1,3
207,MDA_RIDA_10uM-1,MDA,RIDA,10.0,1
208,MDA_RIDA_10uM-2,MDA,RIDA,10.0,2
209,MDA_RIDA_10uM-3,MDA,RIDA,10.0,3
210,MDA_RIDA_1uM-1,MDA,RIDA,1.0,1
211,MDA_RIDA_1uM-2,MDA,RIDA,1.0,2
212,MDA_RIDA_1uM-3,MDA,RIDA,1.0,3
213,MDA_TEMSI_0p1uM-1,MDA,TEMSI,0.1,1
214,MDA_TEMSI_0p1uM-2,MDA,TEMSI,0.1,2
215,MDA_TEMSI_0p1uM-3,MDA,TEMSI,0.1,3
216,MDA_TEMSI_10uM-1,MDA,TEMSI,10.0,1
217,MDA_TEMSI_10uM-2,MDA,TEMSI,10.0,2
218,MDA_TEMSI_10uM-3,MDA,TEMSI,10.0,3
219,MDA_TEMSI_1uM-1,MDA,TEMSI,1.0,1
220,MDA_TEMSI_1uM-2,MDA,TEMSI,1.0,2
221,MDA_TEMSI_1uM-3,MDA,TEMSI,1.0,3
222,MDA_TOR1_0p1uM-1,MDA,TOR1,0.1,1
223,MDA_TOR1_0p1uM-2,MDA,TOR1,0.1,2
