sample_name,sample,compound,dose,replicate
MDA_RIDA_0p1uM-3,MDA,RIDA,0p1uM,3
MDA_RIDA_10uM-1,MDA,RIDA,10uM,1
MDA_RIDA_10uM-2,MDA,RIDA,10uM,2
MDA_RIDA_10uM-3,MDA,RIDA,10uM,3
MDA_RIDA_1uM-1,MDA,RIDA,1uM,1
MDA_RIDA_1uM-2,MDA,RIDA,1uM,2
MDA_RIDA_1uM-3,MDA,RIDA,1uM,3
MDA_TEMSI_0p1uM-1,MDA,TEMSI,0p1uM,1
MDA_TEMSI_0p1uM-2,MDA,TEMSI,0p1uM,2
MDA_TEMSI_0p1uM-3,MDA,TEMSI,0p1uM,3
MDA_TEMSI_10uM-1,MDA,TEMSI,10uM,1
MDA_TEMSI_10uM-2,MDA,TEMSI,10uM,2
MDA_TEMSI_10uM-3,MDA,TEMSI,10uM,3
MDA_TEMSI_1uM-1,MDA,TEMSI,1uM,1
MDA_TEMSI_1uM-2,MDA,TEMSI,1uM,2
MDA_TEMSI_1uM-3,MDA,TEMSI,1uM,3
MDA_TOR1_0p1uM-1,MDA,TOR1,0p1uM,1
MDA_TOR1_0p1uM-2,MDA,TOR1,0p1uM,2
MDA_TOR1_0p1uM-3,MDA,TOR1,0p1uM,3
MDA_TOR1_10uM-1,MDA,TOR1,10uM,1
MDA_TOR1_10uM-2,MDA,TOR1,10uM,2
MDA_TOR1_10uM-3,MDA,TOR1,10uM,3
MDA_TOR1_1uM-1,MDA,TOR1,1uM,1
MDA_TOR1_1uM-2,MDA,TOR1,1uM,2
MDA_TOR1_1uM-3,MDA,TOR1,1uM,3
MDA_TOR2_0p1uM-1,MDA,TOR2,0p1uM,1
MDA_TOR2_0p1uM-2,MDA,TOR2,0p1uM,2
MDA_TOR2_0p1uM-3,MDA,TOR2,0p1uM,3
MDA_TOR2_10uM-1,MDA,TOR2,10uM,1
MDA_TOR2_10uM-2,MDA,TOR2,10uM,2
MDA_TOR2_10uM-3,MDA,TOR2,10uM,3
MDA_TOR2_1uM-1,MDA,TOR2,1uM,1
MDA_TOR2_1uM-2,MDA,TOR2,1uM,2
MDA_TOR2_1uM-3,MDA,TOR2,1uM,3
MDA_ZOTA_0p1uM-1,MDA,ZOTA,0p1uM,1
MDA_ZOTA_0p1uM-2,MDA,ZOTA,0p1uM,2
MDA_ZOTA_0p1uM-3,MDA,ZOTA,0p1uM,3
MDA_ZOTA_10uM-1,MDA,ZOTA,10uM,1
MDA_ZOTA_10uM-2,MDA,ZOTA,10uM,2
MDA_ZOTA_10uM-3,MDA,ZOTA,10uM,3
MDA_ZOTA_1uM-1,MDA,ZOTA,1uM,1
MDA_ZOTA_1uM-2,MDA,ZOTA,1uM,2
MDA_ZOTA_1uM-3,MDA,ZOTA,1uM,3
