gene,dataset_name,dataset_dose_name,dataset_dose_units,dataset_response_name,dataset_response_units,dataset_doses,dataset_ns,dataset_stdevs,dataset_means,bmds_model_index,model_name,bmr,distribution,direction,confidence_level,tail_probability,degree,model_class,bmdl,bmd,bmdu,aic,loglikelihood,p_value1,p_value2,p_value3,p_value4,model_dof,residual_of_interest,residual_at_lowest_dose,recommended,recommendation_bin,recommendation_notes,selected
ALKBH1_88236,ALKBH1_88236,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.17163781830959926,0.2840251329637651,0.22444788252590858,0.12243443390523207","-0.009195255184781688,-0.22962015283743512,-0.17908230843053616,-0.4243908262562761",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,3.2237184518946513,5.1378611483905745,10.22199862052882,-4.399728197120867,5.199864098560433,0.03036131307389711,0.5718160240968606,0.5718160240968606,0.1280875823915021,2.0,-0.7000623618389838,1.041124199098234,True,Recommended - Lowest AIC,,False
ALS2_10879,ALS2_10879,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.2522819772800825,0.3537972132266503,0.1957533471862102,0.5886830889423424","-0.02055536255967418,-0.33280302928302835,-0.0009413234935748879,0.5488506333964396",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,3.102733695943659,4.865503311157227,11.15607150811644,15.843112370182919,-4.921556185091459,0.015135884228340335,0.22127146149525645,0.22127146149525645,0.2476389108423046,2.0,0.09567926163668476,0.681197026889341,True,Recommended - Lowest AIC,,False
AMOTL1_18638,AMOTL1_18638,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.42433948084916295,0.6860008595807013,0.2217442127613881,0.3053314770937529","-0.05753077720781321,-0.24942426917277025,-0.045681096076711614,0.7400751326033994",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,3.0417650318369005,4.7345781326293945,10.55986621645175,26.768194326365954,-10.384097163182977,0.03185377279014445,0.23881585674741124,0.23881585674741124,0.7269856183741117,2.0,-0.11914691377023771,0.3899034627796344,True,Recommended - Lowest AIC,,False
AMT_11074,AMT_11074,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.6671254024207177,0.4043379387744446,0.8244552692430241,0.2421612566005675","-0.12880766503780824,0.3911058798297618,1.0024068772635282,1.325369877599543",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,0,frequentist_restricted,0.01634443403296115,0.13047157189720324,1.0741276866478415,43.67825979413938,-17.83912989706969,0.0024251223534101918,0.13772597543628862,0.13772597543628862,0.78329583267312,1.0,0.11757132935535008,-0.023296940598616034,True,Recommended - Lowest AIC,"lowest dose/BMDL ratio > 3.0
BMD/BMDL ratio > 3.0",False
AMZ2_93173,AMZ2_93173,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.2869785043920888,0.17055456806133637,0.4985094516482019,0.45204050206024676","-0.026916654172765717,0.30088451849567854,0.12473823814993645,0.6418849662956264",5,Exponential 5,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,0,frequentist_restricted,0.5865274541017998,2.9924464225769043,10.264900986806731,19.34082907071244,-5.670414535356221,0.034352309461980424,0.3320720193814717,0.3320720193814717,0.11114545833583223,1.0,-0.17592587453733105,-0.617598766074246,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
ANKS1A_20264,ANKS1A_20264,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.48470637371759406,0.23875646866507066,0.3127553470010292,0.21586174553789425","-0.06877251570922895,0.0944139976284696,-0.07627444454055986,-1.3345069252264368",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,2.0936263703758278,2.9343020915985107,4.82983962170423,25.29254667802738,-9.64627333901369,0.0003747568814953528,0.11724353720409475,0.11724353720409475,0.7220949808951543,2.0,0.3373965262117012,-0.43791722838475583,True,Recommended - Lowest AIC,,False
AP1G1_21853,AP1G1_21853,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.37426010027586526,0.14810223427169833,0.7331061683224739,0.8257586173077684","-0.04216137113737851,-0.4353377882864167,-0.6284472634286336,-1.2660866592003168",0,Linear,1.0 Standard Deviation,Normal + Nonconstant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,1.4271696674819858,2.6682090759277344,6.598537000604625,34.87297807139553,-13.436489035697765,0.0010664230912863504,0.044982109406161985,0.056638718419705136,0.11726255032628496,2.0,-1.3502523949685725,-0.40792849566335315,True,Recommended - Lowest AIC,,False
AP3S1_93087,AP3S1_93087,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.31092464836910916,0.28018935826112257,0.26077269298131,0.5270461016443062","-0.02998916940636541,0.048872603112365354,-0.01996368204314153,0.6155817837069607",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,2,frequentist_restricted,3.079533448688798,6.925089359283447,10.48028553581014,15.438455092340881,-4.7192275461704405,0.08670063623428881,0.583384482423268,0.583384482423268,0.9198922243354528,2.0,0.0006018661236279298,-0.1574481054731588,True,Recommended - Lowest AIC,,False
APEX2_33605,APEX2_33605,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.21829827608656827,0.31300398124218276,0.5288803388149901,0.18560295177249583","-0.014913694459269012,0.11945720470882441,-0.2766888440289947,-0.5695450701801427",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,3.0631018647625696,4.781050682067871,10.766672483062528,10.628464669712573,-2.3142323348562863,0.013979117647498485,0.2160544228126351,0.2160544228126351,0.26057561993125733,2.0,-1.2658118105043636,0.10040256577973303,True,Recommended - Lowest AIC,,False
ARFGEF2_25935,ARFGEF2_25935,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.7510843529903467,1.0135583089009583,0.4293388836076229,0.42873515119366473","-0.16191672914557273,0.2385997548525611,-0.16486203878072284,-1.6268538581972996",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,2.846323385799356,4.324735403060913,8.895097583740517,48.76834396715153,-21.384171983575765,0.019041692688875234,0.27985664622012907,0.27985664622012907,0.6142143532089828,2.0,0.15205867966547065,-0.4816492482643567,True,Recommended - Lowest AIC,,False
ARFGEF3_19891,ARFGEF3_19891,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.8159152599529951,0.2877248097685348,0.8464083775514416,0.954444792008256","-0.153449440116889,-0.5295870188496209,-0.3747966223843095,-1.6632384661884958",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,3.179712252307918,5.037224938521765,9.767179193703864,52.12545195352033,-23.062725976760166,0.04390748243715037,0.23515822142901643,0.23515822142901643,0.7388752533342982,2.0,-0.011176722448211045,0.34663887868194115,True,Recommended - Lowest AIC,,False
ARG2_19025,ARG2_19025,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.35835866237473435,0.32746735352847484,0.35795173063369046,0.15129381431629382","-0.039593629233620954,-0.2058117060419603,-0.5754544938440168,-0.8626530629103915",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.05071819154443192,0.305131787228233,1.865683710165331,17.506808795479124,-4.753404397739562,0.005729680591306741,0.3366987691051264,0.3366987691051264,0.8269054295871846,1.0,-0.17528812284845277,0.05605917270693064,True,Recommended - Lowest AIC,BMD/BMDL ratio > 3.0,False
