gene,bmd,bmdl,bmdu,model,aic,pvalue,converged,error
BECN1_680,0.21044037340855093,0.030648644785510784,1.4396704054632834,Hill,-7.2318362316546825,0.5696417590106152,True,
BEX2_10891,,,,,,,False,No valid model fit
BHLHE40_689,,,,,,,False,No valid model fit
BICC1_19624,0.3179753234950169,0.10678739948826929,-9999.0,Hill,35.044180034721954,0.3420693284261228,True,
BID_696,,,,,,,False,No valid model fit
BLOC1S1_721,,,,,,,False,No valid model fit
BLOC1S5_25482,,,,,,,False,No valid model fit
BMF_16921,0.056799637479438385,0.017023387619226088,0.2446126290539882,Hill,35.79107212195156,0.5510728838873613,True,
BMP1_26901,,,,,,,False,No valid model fit
BMPR1A_18051,,,,,,,False,No valid model fit
BMS1_18670,,,,,,,False,No valid model fit
BOLA3_16505,,,,,,,False,No valid model fit
BOP1_14081,,,,,,,False,No valid model fit
BOP1_750,,,,,,,False,No valid model fit
BORCS7_812,,,,,,,False,No valid model fit
BORCS8_27499,,,,,,,False,No valid model fit
BPNT1_18869,,,,,,,False,No valid model fit
BRD8_91599,,,,,,,False,No valid model fit
BRI3BP_19979,3.5291004180908203,2.4336574417872128,6.3320158041431585,Linear,15.266858117170692,0.920150070604472,True,
BRI3BP_771,4.7283731205895165,3.0389022065113718,10.11858938366096,Power,30.982562156106884,0.5211134312133419,True,
BRIP1_16491,5.6218671798706055,2.380286802076642,7.310871591315555,Polynomial 2,31.209210693118756,0.6663597856580171,True,
BRIX1_92578,,,,,,,False,No valid model fit
BRMS1_24014,,,,,,,False,No valid model fit
BSG_778,4.567158222198486,2.964002283073555,9.844580194305134,Linear,18.416075993018204,0.16977208906636998,True,
BSN_24704,,,,,,,False,No valid model fit
BTAF1_89769,,,,,,,False,No valid model fit
BTBD2_15638,,,,,,,False,No valid model fit
BTBD3_785,6.077480316162109,2.636383385014453,8.22036842680927,Polynomial 2,0.7363783939096651,0.8395728930443425,True,
BTBD7_26905,,,,,,,False,No valid model fit
BTBD8_19106,,,,,,,False,No valid model fit
BTF3_92848,,,,,,,False,No valid model fit
BTN3A2_26908,,,,,,,False,No valid model fit
BTNL9_23451,,,,,,,False,No valid model fit
BUB3_13110,,,,,,,False,No valid model fit
BUD23_90574,,,,,,,False,No valid model fit
BYSL_16106,,,,,,,False,No valid model fit
BZW1_92394,,,,,,,False,No valid model fit
C11orf1_18201,,,,,,,False,No valid model fit
C11orf45_26186,,,,,,,False,No valid model fit
C11orf65_10833,,,,,,,False,No valid model fit
C12orf57_825,,,,,,,False,No valid model fit
C12orf65_23267,,,,,,,False,No valid model fit
C16orf46_12928,,,,,,,False,No valid model fit
C16orf58_26313,,,,,,,False,No valid model fit
C16orf96_23924,,,,,,,False,No valid model fit
C17orf113_88063,,,,,,,False,No valid model fit
C17orf75_21901,,,,,,,False,No valid model fit
