gene,model_name,recommended,bmd,bmdl,bmdu,aic,p_value1,p_value2,p_value3,p_value4,bmr,loglikelihood
SPACA9_24794,Hill,True,0.1471333657327605,0.03318292620606212,0.884822476704839,42.105195331412986,0.00019311202527061422,0.11445079746510123,0.11445079746510123,0.6495689106084768,1.0 Standard Deviation,-17.052597665706493
SPATA5_16599,Hill,True,1.2346997628221532,0.11599211632374117,9.677303573230322,25.497011422594902,0.0062510330104090794,0.5265057420260899,0.5265057420260899,0.1269289692238913,1.0 Standard Deviation,-8.748505711297451
SPATA7_91570,Hill,True,0.027830666763666106,0.011050437365189883,0.08488574311205997,18.829228155515963,1.3974054335896824e-07,0.2766976218599424,0.2766976218599424,0.1494188739733674,1.0 Standard Deviation,-5.414614077757982
SPCS2_21762,Hill,True,0.12959415612441083,0.02898802386221359,0.880890262254431,53.691600515943236,0.00013952728742594456,0.06931871949278245,0.06931871949278245,0.6636628697829867,1.0 Standard Deviation,-22.845800257971618
SRA1_20834,Linear,True,2.6874303817749023,1.943602973974252,4.282980171331545,8.471596086211719,0.0005280708831483238,0.32287222659860504,0.32287222659860504,0.9872236503105363,1.0 Standard Deviation,-1.2357980431058588
SRCAP_91495,Linear,True,3.6429619789123535,2.4964636505041913,6.655316430650817,10.504752841920588,0.002482347592235312,0.23046726901404035,0.23046726901404035,0.28541158559317026,1.0 Standard Deviation,-2.252376420960294
SRC_87757,Polynomial 2,True,6.1623311042785645,2.978939129352824,8.40706411545016,38.90808985468904,0.0006427241520154947,0.05376352634426507,0.05376352634426507,0.22549034869816076,1.0 Standard Deviation,-16.45404492734452
SSB_92788,Hill,True,0.9079958768378755,0.07145192197384566,9.608373066390367,24.478843236635605,0.005273090309827588,0.16210922930580873,0.16210922930580873,0.32377453931755906,1.0 Standard Deviation,-8.239421618317802
SSTR2_27909,Hill,True,0.4062658099755359,0.13741381894625762,1.4835965904638941,51.92822615600977,1.0775611310909206e-05,0.13326778409802553,0.13326778409802553,0.20646235099164478,1.0 Standard Deviation,-21.964113078004885
STRADA_24367,Hill,True,0.29696059284179893,0.10240495673213433,0.8506741288395376,14.173806668567323,0.00034868129656562274,0.08862844618597365,0.08862844618597365,0.4469119301887253,1.0 Standard Deviation,-3.086903334283662
STUB1_6861,Polynomial 2,True,5.797199010848999,4.054023530902163,10.614259871728525,41.15363264609789,0.0011620628877372363,0.041317540575082856,0.42124220437926885,0.12497347744872156,1.0 Standard Deviation,-16.576816323048945
SUPT3H_17765,Hill,True,0.16553822388991143,0.01699426500427854,1.5841306821568837,44.92121791590455,0.003710240304560797,0.36871458370230104,0.36871458370230104,0.36692325245198476,1.0 Standard Deviation,-18.460608957952275
SVIL_21650,Hill,True,0.5857264572976766,0.05087292348652918,5.5678879467928555,41.39588226423185,0.019132673265534028,0.2746829431514155,0.2746829431514155,0.6386831848704017,1.0 Standard Deviation,-16.697941132115925
SWT1_14364,Linear,True,3.927185535430908,2.645901861499109,7.521361065580049,37.90077067193231,0.0032399056458315423,0.07163530368417936,0.07163530368417936,0.7457043612250456,1.0 Standard Deviation,-15.950385335966155
SYS1_27929,Power,True,2.0755961326911674,1.6379999167790846,2.747607151674159,-1.8942242830068956,5.173979276829055e-05,6.98120662678825e-05,0.12095266043667963,0.24318038374648365,1.0 Standard Deviation,4.947112141503448
TACC3_15729,Linear,True,3.0839037895202637,1.6731992393075232,9.851021823645848,1.8922207407708909,0.0008561903787734915,0.02386979085006935,0.6200751491896657,0.2981339181721987,1.0 Standard Deviation,3.0538896296145546
TAP2_27935,Hill,True,0.08478116056273681,0.02150794850413704,0.43470227639562664,17.30742653227189,0.00043902608811585697,0.7283892299673773,0.7283892299673773,0.5283628614222493,1.0 Standard Deviation,-4.653713266135945
TATDN3_12595,Linear,True,5.009255409240723,3.167319683539618,11.851917194597126,20.424229888188172,0.07086048592458383,0.4689472427666326,0.4689472427666326,0.6279702599614774,1.0 Standard Deviation,-7.212114944094086
TBC1D15_25284,Power,True,4.248616077544669,2.8091001526762605,9.927902401308495,20.86570384027409,0.001956916286960597,0.05474336699568971,0.05474336699568971,0.27430093900576735,1.0 Standard Deviation,-7.432851920137045
TCF3_91725,Linear,True,3.206362724304199,2.253492323163232,5.480920566487058,30.387276289312197,0.005003706563367238,0.7407776383162996,0.7407776383162996,0.567789815397087,1.0 Standard Deviation,-12.193638144656099
TCOF1_15308,Polynomial 2,True,6.415209770202637,3.080831922634999,8.985376803114418,32.959747485294,0.017146791284712748,0.6176629582719967,0.6176629582719967,0.324820750111394,1.0 Standard Deviation,-13.479873742647003
TCP1_92626,Linear,True,5.137679576873779,3.2236385842473423,12.515966642537546,24.530029946265493,0.012902516817075438,0.19464078505448346,0.19464078505448346,0.16249106904612032,1.0 Standard Deviation,-9.265014973132747
