"","MDA_DACTO_1uM-1","MDA_DACTO_1uM-2","MDA_DACTO_1uM-3","MDA_DMSO1-1","MDA_DMSO1-2","MDA_DMSO1-3","MDA_DMSO1-4","MDA_DMSO1-5","MDA_DMSO1-6","MDA_DMSO2-1","MDA_DMSO2-2","MDA_DMSO2-3","MDA_DMSO2-4","MDA_DMSO2-5","MDA_DMSO2-6"
"CSTB_17311",560.851432480185,940.920136884234,865.319981789678,448.188769073955,599.062246279789,660.721879174363,730.080883901877,1014.52055186002,971.806732587851,384.654969749085,414.945917422951,271.401168589562,375.118461579687,444.360880810249,404.140153931692
"LYZL4_17312",91.4577875507256,21.0392080297096,29.0545395345439,9.98193249607918,76.2754505277557,62.2133831403751,27.2563529990034,52.8740352760924,28.3571365187307,20.6803747176928,13.831530580765,0,0,0,13.9358673769549
"CYP2D6_17313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM182_17314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP1B1_17315",371.211020058828,691.956175199338,885.531835378926,270.510370643746,202.258498028656,189.790194137094,293.979235917823,345.003080176503,544.91686661669,569.744323472435,481.975642545119,508.179142832308,257.714973604365,441.209385201665,438.443827474965
"OR2G2_17318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF865_17319",92.8027550147069,18.7015182486307,90.9533411516158,31.9421839874534,24.8537984865721,22.8378241907706,15.5750588565734,11.8966579371208,9.19690914120995,23.7824309253467,26.599097270702,27.9219309248521,45.8159953074427,26.262463404861,20.3678061663187
"ANKS3_17320",16.1396095677751,0,0,10.9801257456871,0,0,14.2771372851923,11.8966579371208,11.4961364265124,13.4422435665003,15.9594583624212,15.6362813179172,0,19.9594721876944,11.7918877805003
"SSX5_17322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLGN_17323",0,26.8834324824067,39.1604663291679,27.9494109890217,29.9959636906904,36.2255142336361,44.1293334269579,32.3853466066066,59.7799094178647,40.3267306995009,23.4072055982177,26.805053687858,18.6127480936486,48.3229326649443,56.8154593060468
"ACSM6_17324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERICH5_17326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF584_17327",246.12904590857,174.157888690374,197.065572495167,215.60974191531,226.255268981208,177.19001527322,246.605098562412,229.341128010051,157.11386449567,294.695339727122,248.96755045377,259.115518982627,188.990980643201,211.150205775083,221.901888233051
"APLF_17330",494.948026745103,265.327790152449,495.190412936575,174.683818681386,198.830387892577,207.11544007492,129.143196352421,126.897684662622,124.924682501435,102.367854852579,122.355847445229,108.337091988426,239.102225510716,136.564809705277,96.4790818404569
"BCL2A1_17331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLBD2_17333",236.714273660702,331.951948913196,176.85371890592,220.60070816335,218.54202117503,208.690462432904,256.988471133461,272.962207112827,177.806910063392,322.613845596007,289.398178305237,259.115518982627,153.197234309261,173.332258472083,232.621786215324
"C10orf91_17334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLCB4_17335",41.693991383419,15.1949835770125,40.4237071784959,17.9674784929425,35.9951564288285,32.2879583386757,32.4480392845279,35.6899738113624,37.5540456599406,34.122618284193,43.6225195239512,23.4544219768758,31.4984967738668,24.1614663324721,32.159693946819
"OR8K1_17336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZFP14_17337",18.8295444957376,11.6884489053942,0,15.9710919937267,11.1413579422564,12.6001788638734,18.8198627850262,18.5059123466323,8.43050004610912,14.4762623023849,13.831530580765,23.4544219768758,0,21.0099707238888,31.0877041485917
"LYPD2_17338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD10_17339",115.667201902388,121.5598686161,111.165194740864,76.8608802198097,87.4168084700121,76.3885843622327,59.0554314978407,77.3282765912851,62.845545798268,86.8575738143095,100.012605737839,91.5839334335149,80.1779917880247,75.6358946059998,82.543214463502
"MEX3D_17340",26.8993492796252,74.806072994523,72.0047284116958,70.8717207221622,52.2786795752033,49.6132042765017,103.833725710489,55.517737039897,85.071409556192,110.640004739656,96.8207140653551,145.194040809231,55.8382442809457,129.211319951916,108.270969620957
"THY1_17341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB8B_17342",0,0,0,0,0,0,8.43649021397725,0,0,0,0,0,0,0,0
