"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AURKB_587",624.719948930103,-0.971010607458489,0.214529263603496,-4.52623847743757,6.00428213229582e-06,0.000201630163951386
"AZIN1_593",71.2764854666445,0.219942455486135,0.399423111699681,0.550650298001549,0.581873421956154,0.798092715086341
"B2M_596",1019.79822955486,0.211781848436373,0.346272756169042,0.611604131897071,0.54079970368502,0.77092193877349
"B3GALT5_597",0.744584824662723,-1.99334360024838,3.81775116676551,-0.522125071324956,0.601583251373704,0.809890812897089
"B3GAT1_598",0,NA,NA,NA,NA,NA
"B4GAT1_602",0,NA,NA,NA,NA,NA
"B4GALT1_603",0,NA,NA,NA,NA,NA
"B4GALT5_608",29.6324496209939,-0.332815095365679,0.419957685529923,-0.792496736774127,0.428071093753148,0.692533863715826
"B4GALT7_611",431.376631067213,1.08264517259142,0.270717394222948,3.99917107542715,6.35647222006233e-05,0.00139113484775664
"BAAT_614",0,NA,NA,NA,NA,NA
"BACE1_615",0,NA,NA,NA,NA,NA
"BACE2_618",28.9658210906321,-1.05165448264556,0.920633168130966,-1.14231652633219,0.253322474242956,0.524817885194163
"BAD_619",13.41923033173,-0.754872866230179,0.98582764280064,-0.765724994366824,NA,NA
"BAG3_629",234.046505251343,-0.154137401552367,0.325391514937124,-0.473698281844108,0.635715078742079,0.828344406818746
"BAG6_630",759.596333520335,-0.106844406577802,0.281972662541005,-0.378917607171456,0.704749048849048,0.863552357344605
"BAK1_631",0,NA,NA,NA,NA,NA
"BAMBI_634",115.577543168903,0.36238124382962,0.309169950112746,1.17211017337704,0.241152825971901,0.50864316194756
"BANF1_635",472.556145366077,0.0165873976781671,0.293049639098868,0.0566026893231249,0.954861692211638,0.983117417018853
"BBC3_640",5.32694272571751,0.28768851492565,2.66983732089714,0.107755072818062,0.914189982001703,0.964895704816046
"BCAP31_644",1215.9654372604,0.430121304600836,0.25813726522216,1.66625033480022,0.0956635642932649,0.295862616071251
"BCAT2_651",11.4518918071151,-0.925555895211637,1.39814777941048,-0.661987172487512,0.507979442618823,0.746947338126794
"BCL11B_654",0,NA,NA,NA,NA,NA
"BCL2_658",31.3050132596495,0.00239360730803314,0.371901983817541,0.00643612406544049,0.994864751430291,0.998171994129286
"BCL2L1_660",0,NA,NA,NA,NA,NA
"BCL2L11_661",1.60545883165207,-3.11336088707999,3.80503571790028,-0.818221198932142,0.413230892505975,0.681264040007944
"BCL2L11_663",39.9949475724995,0.940103703293576,0.298891990801677,3.14529573299058,0.00165919015616917,0.017267818642152
"BCL2L13_664",31.604978690018,0.743779221535405,0.343784784780223,2.16350244240999,0.0305025560818643,0.140526152939451
"BCL2L2_665",21.7493329887891,0.357548709719746,0.398145495812736,0.898035299859114,0.36916673041232,0.643029439196534
"BCL2L2-PABPN1_667",52.8495962370565,0.123525990998993,0.525893753642371,0.23488773187254,0.814295871767384,0.913454540565282
"BCL3_668",0,NA,NA,NA,NA,NA
"BCL7B_670",51.7861964873211,-0.216320018177849,0.399239077260508,-0.541830773836545,0.58793508947817,0.801823367218317
"BDH1_674",17.3544940268623,-0.222754561423229,0.978769226101007,-0.227586396755226,0.819967796273151,0.916031855042864
"BDNF_679",0,NA,NA,NA,NA,NA
"BECN1_680",248.985625604632,-0.344570725655163,0.246627722379389,-1.39712892910355,0.16237480383318,0.413061259614827
"BHLHE40_689",33.8892338609252,0.277111742352289,0.539831207870808,0.513330349027557,0.607720257981369,0.813086418172877
"BID_696",69.1355578789783,-0.588804269837929,0.280864108712141,-2.09640267863986,0.0360464849902603,0.156983651746174
"BIRC2_703",345.41373153703,-0.0851376214810684,0.210604936874439,-0.404252733789555,0.686026879136141,0.855328290334843
"BIRC5_709",40.7357629619038,-0.0865774861802013,0.500679706671265,-0.172919902737432,0.862714387191239,0.939760560430409
"BLM_716",486.459881631376,-0.947465733747254,0.171569896143203,-5.52233086949262,3.34531762888347e-08,2.59973246632633e-06
"BLMH_719",50.1660620049893,0.232600812324962,0.662596033965326,0.351044679414931,0.72555482937387,0.873006728686639
"BLNK_720",0,NA,NA,NA,NA,NA
"BLOC1S1_721",94.7582301118133,0.311679138036443,0.202197954491669,1.5414554455806,0.123205978597291,0.347224145545198
"BLOC1S4_725",10.2005379805089,-1.29919230045728,1.59195185217795,-0.816100247428871,0.414442802438293,0.682246079418628
"BLVRA_731",94.2898069196986,-0.915074058735193,0.485382567077659,-1.88526354426896,0.0593942654501721,0.220801712120405
"BMI1_732",0.440616960634103,-1.31908121892498,3.83084310837107,-0.344331830254952,0.730596749113742,0.874478776335096
"BMP4_737",152.226897280803,0.248763034940282,0.239972803718138,1.03663011427107,0.299908273135839,0.578423178593686
"BNIP3L_746",361.520835143001,0.169202762638543,0.405439561169079,0.417331653947753,0.676435838502915,0.850347035526651
"BOP1_750",5.5386817260552,-4.90660321047393,2.05534687916345,-2.38723850470971,0.0169754743978474,0.0917566458705805
"BRCA1_757",0,NA,NA,NA,NA,NA
"BRD4_767",1320.84563333264,0.153076602109486,0.4196224813607,0.364795998567827,0.715263692254182,0.866884429159209
"BRI3BP_771",47.7800755281046,-0.836737175857984,0.412909845936544,-2.0264403576043,0.0427196788051703,0.175670466265368
"BSG_778",1850.20131294989,0.0290129225133134,0.202626593194599,0.143184179607905,0.886144723920444,0.950329619594054
"BTBD1_781",2494.65349790692,0.510329595244822,0.224956113842472,2.26857401885146,0.0232942430609766,0.115571484429625
"BTBD3_785",102.508714814707,-0.21021122282679,0.194136233792207,-1.08280262123447,0.278896041839479,0.555480790514542
"BTK_795",0,NA,NA,NA,NA,NA
"BTN3A2_796",31.2348276603122,0.141398310917938,0.475284532033314,0.297502446193699,0.766082940702475,0.890720695613395
"BUB1B_800",57.9324102906577,-2.47678280465248,0.492597616491561,-5.02800403764218,4.956114433269e-07,2.49420932319964e-05
"BYSL_801",13.5224025004428,-1.84734000624434,0.900158291992328,-2.05223905914993,0.0401464352527959,0.168888310116948
"BZW2_805",150.514144226752,-0.0683575320860276,0.209955300515336,-0.325581359071401,0.744741117678168,0.880179421293805
"RPP38-DT_808",0,NA,NA,NA,NA,NA
"BORCS7_812",106.658586649045,0.243477388601677,0.262386570062707,0.927933882223807,0.353441867547834,0.629673292714776
"C11orf68_818",171.179608336425,0.375728656876441,0.330835068540227,1.13569779205784,0.256083064975003,0.528034003375531
"TMEM263_820",178.973380959827,-0.177273646710339,0.294637423314751,-0.601667109072441,0.547395747981116,0.776065328522932
"C12orf29_822",0,NA,NA,NA,NA,NA
