,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1154,LAMC2_3727,68.6733039533365,0.6334720680790611,0.21497764489333201,2.9466881004923904,0.00321196999865756,0.0282801537602291
1157,LAPTM4A_3743,1452.4204399739,0.926228098671716,0.23646879397064302,3.9169147147031405,8.96894605927328e-05,0.0017907535685730601
1162,LCP1_3761,44.0417284839696,1.14419889540314,0.386126873962174,2.9632718480901,0.0030438761651848897,0.0271128516621616
1170,LIG1_3795,53.890367081461704,-1.0915132558582201,0.3809223905728,-2.86544787828538,0.004164198179113779,0.0339679220418219
1198,LRRC41_3882,329.940757148641,1.08306492301118,0.328571416525811,3.2962846691386,0.000979726870524305,0.0116330240856948
1199,LSM1_3888,114.589150317029,-0.9718819312477399,0.33765366249227396,-2.87833966933493,0.003997744353430211,0.0329623419433401
1210,MAD2L1BP_3931,8.97035402148435,-5.601315819333201,1.45168400739299,-3.8584952309231095,0.000114087293606083,0.00216782561701281
1218,MAP1LC3B_3964,6.67930440887982,-5.17846763172765,1.8201211733793798,-2.8451224607826,0.00443943517761491,0.0355648084784483
1242,MARS1_4025,14.648461448369801,-6.30258057216129,1.36097767968609,-4.6309213341507505,3.64042175828529e-06,0.000131970373125772
1245,MASTL_4036,239.284159021487,-1.5997129224676,0.32575415942514596,-4.91079814695411,9.070642444519979e-07,4.18537556546377e-05
1251,MBOAT7_4061,17.275537314779,-2.2213301035149704,0.7927118916143889,-2.80219096876565,0.00507568184817948,0.0390780838562524
1254,MCM10_4071,829.430303823884,-1.7380473618451002,0.20613800955504502,-8.43147445537447,3.4133680975025395e-17,1.92603005084296e-14
1255,MCM3_4072,4398.80120705071,-0.860755258775185,0.206366014183495,-4.17101266495279,3.03249005639737e-05,0.000773195598269647
1256,MCM4_4075,453.971842114229,-1.5094961825431898,0.38319295127039904,-3.9392587403780897,8.173374682607579e-05,0.0016626027685091099
1257,MCM7_4079,1375.6407134958,-0.7848614516392621,0.222739665884902,-3.52367167527686,0.000425611279214533,0.00620180977012226
1258,MCOLN1_4080,83.9399330340452,0.928426583496302,0.28989509958708504,3.2026294505106003,0.0013617908062291,0.0148141836406046
1259,MCTP1_4083,164.48817898951,1.02189929726028,0.22833146381624603,4.4755080188277105,7.62298376030442e-06,0.000244274279607977
1260,MCUR1_4086,835.937678637771,-0.807016341320264,0.281110717815908,-2.87081313580067,0.0040941746955805896,0.033544317676291
1274,METTL2A_4134,12.5418056690802,-6.08386595385957,1.6857908436415903,-3.60890912227131,0.00030748729390477596,0.0048195291066379
1286,MMP1_4206,1802.6035137811898,1.20407830307196,0.273966342121988,4.39498623716276,1.10779772174499e-05,0.000330505720294402
1289,MMP3_4216,4.3158848123835405,6.97302830925376,1.87596130398092,3.71704272068753,0.000201568369762583,0.0034240239565167603
1294,MOCS3_4235,285.886063694426,0.7059028532671461,0.195307584738733,3.6143135670406603,0.000301144419438634,0.00473154028507819
1334,MTFR1_4345,268.892903981277,-0.8988632478160079,0.26843498089321,-3.34853246333643,0.00081240762574289,0.0100701300543374
1344,MYBL2_4391,19.110865376863803,-2.23324968023003,0.7265854347938101,-3.07362296749561,0.00211476513500062,0.0208077497513556
1364,NCAPG2_4481,23.341472919988398,-6.97910823381195,1.3895451764366298,-5.022584621328599,5.09807233513886e-07,2.54894321165114e-05
1365,NCAPH_4484,122.409608018163,-1.8697795142805702,0.350671402057849,-5.33199885507662,9.713755140971131e-08,6.3992443766255505e-06
1374,NDC1_4509,389.374584079653,-1.2467041866009398,0.332801943267691,-3.74608445599773,0.000179616142478353,0.00313623287530886
1380,NDUFB5_4525,29.074145315367197,-7.300597892784589,1.3826818261673501,-5.28002737478738,1.2916458720938402e-07,8.098058032866589e-06
1381,NDUFS6_4527,1035.85932506694,-0.8779589611813229,0.258515543203896,-3.3961554121674706,0.000683395453193355,0.00887120072930774
1387,NES_4542,8.842440343549631,-5.584691957262269,1.63407196703715,-3.41765361007219,0.000631634394011855,0.00836878174741316
1388,NEU1_4546,183.128921798194,1.1830738136087802,0.352572832772711,3.3555444539070693,0.00079208925163858,0.009903404920775998
1407,NISCH_4597,118.22469527926701,0.65666070904224,0.227336328409353,2.8884987878392403,0.0038708552083277295,0.0322025377523573
1412,NME1_4611,1810.4368369056501,-0.713237510472687,0.220778413070096,-3.2305581897911204,0.00123548752609571,0.0138823871114027
1416,NOL3_4625,97.3745193446637,0.705269933589808,0.194612808005094,3.62396463428731,0.000290121293015252,0.0046127193859153
1423,NPC1_4646,830.3141470895799,1.29227756143258,0.28770838405368,4.49162288295174,7.06824993982045e-06,0.000231062336823652
1426,NPLOC4_4655,1220.09271254913,-0.555690162826886,0.127108542819836,-4.37177667605332,1.23239549037003e-05,0.000361039021986958
1439,NRP1_4724,942.597187438909,0.43743063503027796,0.11466452370618599,3.81487334435838,0.000136252798554076,0.00248355171297022
1441,NSUN2_4730,491.29137225164595,-0.635347285800705,0.126603326985271,-5.018409080786809,5.210114064765121e-07,2.59068430392804e-05
1444,NT5E_4738,392.81457331818496,0.8019358490174221,0.20486665913872,3.9144283037017296,9.06186582866419e-05,0.0018009937936355898
1447,NUDCD3_4752,462.536765304624,-0.6780608467941861,0.24356840679385997,-2.78386206043566,0.00537158732559281,0.0407436939284298
1448,NUDT21_4757,694.3577912388341,-0.7561613138746558,0.253022404259075,-2.9885152506115897,0.00280336509407132,0.0254720746914314
1449,NUDT5_4760,6.89296864399337,-5.2276829148568495,1.8151661031592399,-2.8800024999134903,0.00397672017736137,0.0328307089451628
1453,NUP35_4776,183.979973683757,-0.9136881874150771,0.26735423821331,-3.41751899472821,0.000631946841767984,0.00836878174741316
1460,NUSAP1_4789,1456.5610963108302,-0.840744847215121,0.27870542446965696,-3.01660740480727,0.00255620642204968,0.0237469197890914
1461,OAT_4792,384.742882436718,0.6603628949216199,0.24092748266025502,2.74091974742804,0.00612674699255977,0.0448194458321466
1463,ODC1_4799,154.258497661038,-1.33467100616001,0.295976288925549,-4.509384893651861,6.501585892799939e-06,0.00021470122574238602
1474,ORC6_4832,58.4409371567731,-1.29826129555273,0.36090618405557595,-3.5972265173289704,0.000321628376018981,0.00500490775056875
1508,PANK1_4924,9.27334585795659,-5.6499497007979205,1.46385752624736,-3.85963087219406,0.00011355842838348,0.0021609402984762603
1511,PARP1_4934,1039.05570860741,-1.43256681855809,0.210249343290315,-6.813656566717469,9.51486985425321e-12,2.05806634947497e-09
1525,PCDHGC4_4971,174.03794049150102,0.7430146883973772,0.129508426809685,5.73719183145706,9.625920914478171e-09,9.1856765903013e-07
